HYPERPARAMETERS OF EACH ITERATION:
|   iter    |  target   | baggin... | baggin... | featur... | lambda_l1 | lambda_l2 | min_ch... | num_le... |
-------------------------------------------------------------------------------------------------------------
|  1        |  0.9975   |  0.6247   |  6.704    |  0.8392   |  5.987    |  1.56     |  19.82    |  16.75    |
|  2        |  0.9976   |  0.9197   |  4.607    |  0.8248   |  0.2058   |  9.699    |  84.08    |  55.93    |
|  3        |  0.9972   |  0.5091   |  2.1      |  0.5825   |  5.248    |  4.319    |  32.67    |  157.4    |
|  4        |  0.9972   |  0.4837   |  2.753    |  0.6198   |  4.561    |  7.852    |  23.97    |  132.6    |
|  5        |  0.9976   |  0.7554   |  1.279    |  0.7645   |  1.705    |  0.6505   |  95.14    |  247.3    |
|  6        |  0.9958   |  0.885    |  2.828    |  0.4586   |  6.842    |  4.402    |  16.59    |  127.8    |
|  7        |  0.9971   |  0.4206   |  6.456    |  0.5553   |  6.625    |  3.117    |  54.41    |  140.9    |
|  8        |  0.9974   |  0.5109   |  6.818    |  0.8651   |  9.395    |  8.948    |  61.8     |  236.2    |
|  9        |  0.9956   |  0.4531   |  2.176    |  0.4271   |  3.253    |  3.887    |  30.78    |  212.5    |
|  10       |  0.9973   |  0.6141   |  2.686    |  0.7256   |  1.409    |  8.022    |  12.08    |  252.7    |
|  11       |  0.9957   |  0.8633   |  2.192    |  0.4033   |  8.155    |  7.069    |  74.26    |  197.9    |
|  12       |  0.9956   |  0.4444   |  3.151    |  0.4695   |  8.631    |  6.233    |  36.44    |  18.14    |
|  13       |  0.9975   |  0.5866   |  2.951    |  0.8378   |  6.376    |  8.872    |  49.86    |  32.38    |
|  14       |  0.9972   |  0.8279   |  5.565    |  0.7368   |  7.71     |  4.938    |  54.66    |  110.6    |
|  15       |  0.9957   |  0.4153   |  1.647    |  0.4189   |  6.364    |  3.144    |  53.31    |  232.5    |
|  16       |  0.9976   |  0.5496   |  3.462    |  0.8533   |  2.288    |  0.7698   |  32.53    |  42.95    |
|  17       |  0.9975   |  0.9578   |  5.849    |  0.78     |  8.715    |  8.037    |  22.72    |  228.7    |
|  18       |  0.9976   |  0.7236   |  5.845    |  0.9377   |  3.18     |  1.101    |  26.65    |  110.5    |
|  19       |  0.9957   |  0.8908   |  6.164    |  0.4042   |  5.107    |  4.174    |  26.1     |  32.45    |
|  20       |  0.9972   |  0.6026   |  6.657    |  0.5939   |  5.188    |  7.03     |  39.54    |  248.8    |
